0.016667 0.016667 0.666667 20 20
20
 12.4  12.4
 6.3  3.0  0 
 2.9  7.3  0 
 13.2  6.2  0 
 9.3  7.0  0 
 6.6  10.6  0 
 0.8  21.3  0 
 4.2  10.8  1 
 1.2  6.2  0 
 10.0  2.7  0 
 24.7  0.8  0 
 6.4  22.2  1 
 1.2  12.9  0 
 6.7  7.9  0 
 6.8  5.4  0 
 7.7  5.1  1 
 15.8  7.1  0 
 0.2  4.7  0 
 12.6  3.8  0 
 15.8  7.4  0 
 2.9  7.3  0 
 12.4  12.4
0 0 0.0
0 1 37.24155044639244
0 2 34.86108118407632
0 3 16.81038863453091
0 4 20.27457359284644
0 5 18.28418268838241
0 6 49.15500254638058
0 7 23.55079978091362
0 8 41.7473827241689
0 9 28.98871971543833
0 10 57.31500350413509
0 11 37.87529259266078
0 12 28.1597047991138
0 13 24.4159288269049
0 14 30.09967318885154
0 15 28.81268155635654
0 16 20.87361222504756
0 17 47.60474274840626
0 18 21.25767272825048
0 19 20.04480907831793
0 20 34.94767511930764
0 21 0.0
1 0 37.24155044639244
1 1 0.0
1 2 18.70046926231612
1 3 24.36202961683319
1 4 16.966976853546
1 5 18.95736775801003
1 6 57.18664352868286
1 7 23.77075066547883
1 8 19.97416772222354
1 9 9.629548766349549
1 10 49.28336252183281
1 11 46.38693357496307
1 12 36.19134578141608
1 13 12.82562161948754
1 14 7.141877257540904
1 15 8.428868890035904
1 16 32.74525320734984
1 17 18.74647426661839
1 18 17.03940424646261
1 19 33.35645006062021
1 20 18.61387532708479
1 21 37.24155044639244
2 0 34.86108118407632
2 1 18.70046926231612
2 2 0.0
2 3 27.47921691454474
2 4 16.24416415125756
2 5 16.57689849569391
2 6 38.48617426636674
2 7 11.3102814031627
2 8 6.886301540092579
2 9 28.17001802866567
2 10 67.98383178414893
2 11 44.00646431264695
2 12 17.49087651909996
2 13 10.44515235717143
2 14 13.95859200477522
2 15 16.82605618774746
2 16 31.5424405050614
2 17 12.74366156432994
2 18 31.67659154417417
2 19 31.03363735833177
2 20 0.5665939352313252
2 21 34.86108118407632
3 0 16.81038863453091
3 1 24.36202961683319
3 2 27.47921691454474
3 3 0.0
3 4 11.23505276328719
3 5 26.29611541023866
3 6 65.96539118091148
3 7 32.54949831770745
3 8 29.50786189460965
3 9 16.10919888587908
3 10 40.50461486960419
3 11 54.68568122719169
3 12 44.97009343364471
3 13 19.68436927171617
3 14 17.22015235929229
