0.016667 0.016667 0.666667 20 20
20
 0.0  0.0
 0.0  3.4  0 
 7.7  2.8  1 
 0.5  16.7  0 
 13.9  1.8  1 
 10.3  4.7  0 
 0.8  0.3  1 
 0.3  16.3  0 
 13.7  3.4  1 
 1.4  14.8  0 
 4.2  3.2  0 
 17.4  4.0  0 
 0.5  2.9  0 
 5.2  13.4  0 
 4.4  2.6  0 
 5.0  1.6  0 
 13.0  3.2  0 
 5.0  15.2  0 
 3.9  1.1  0 
 1.1  11.9  0 
 0.7  1.3  0 
 0.0  0.0
0 0 0.0
0 1 8.086446689953634
0 2 25.17051627419908
0 3 41.33269805337076
0 4 37.67919107846065
0 5 35.898367863899
0 6 2.660829547734461
0 7 39.91117954295655
0 8 41.08760622145069
0 9 38.83735540098576
0 10 17.75722150582788
0 11 51.28438751417555
0 12 8.114368939766521
0 13 44.59492493890775
0 14 16.83063724284487
0 15 15.72806646437719
0 16 38.98204632931871
0 17 48.38848746406217
0 18 11.93089169226035
0 19 31.1475943979327
0 20 4.701934427704709
0 21 0.0
1 0 8.086446689953634
1 1 0.0
1 2 19.81696296415272
1 3 33.24625136341712
1 4 37.12563776841429
1 5 27.81192117394536
1 6 9.265617142219172
1 7 31.82473285300292
1 8 33.17405291140433
1 9 30.75090871103213
1 10 10.48922518412575
1 11 43.19794082422191
1 12 2.280815629720157
1 13 36.50847824895412
1 14 12.37580944710877
1 15 16.13451315433082
1 16 31.70849301927234
1 17 40.30204077410853
1 18 14.87555499769328
1 19 23.06114770797907
1 20 6.744512262248925
1 21 8.086446689953634
2 0 25.17051627419908
2 1 19.81696296415272
2 2 0.0
2 3 50.66321432756983
2 4 17.30867480426157
2 5 10.72785158969992
2 6 22.50968672646462
2 7 50.20169581715562
2 8 15.91708994725161
2 9 43.84787167518486
2 10 9.327737780026961
2 11 26.11387123997646
2 12 18.01614733443256
2 13 31.36544121310683
2 14 8.339879031354211
2 15 9.442449809821895
2 16 13.81153005511962
2 17 36.11900373826125
2 18 13.23962458193873
2 19 37.59811067213178
2 20 20.46858184649437
2 21 25.17051627419908
3 0 41.33269805337076
3 1 33.24625136341712
3 2 50.66321432756983
3 3 0.0
3 4 67.9718891318314
3 5 52.27106591726976
3 6 40.1118685056363
3 7 1.421518510414207
3 8 63.70030427482146
3 9 6.815342652384989
3 10 41.33547654754287
3 11 71.0170855675463
3 12 33.92706699313727
3 13 19.297773114463
3 14 43.22206081052589
3 15 46.98076451774794
3 16 62.55474438268946
3 17 14.54421058930859
3 18 45.7218063611104
3 19 13.06510365543805
3 20 37.59076362566604
3 21 41.33269805337076
4 0 37.67919107846065
4 1 37.12563776841429
4 2 17.30867480426157
4 3 67.9718891318314
4 4 0.0
4 5 15.70082321456166
4 6 35.0183615307262
4 7 67.5103706214172
4 8 4.526797299911355
4 9 61.15654647944642
4 10 26.63641258428854
4 11 13.60519643571489
4 12 34.84482213869413
4 13 48.67411601736841
4 14 24.74982832130552
4 15 21.95112461408347
4 16 5.417144749141954
4 17 53.42767854252283
4 18 25.7482993862003
4 19 54.90678547639335
4 20 32.97725665075595
4 21 37.67919107846065
5 0 35.898367863899
5 1 27.81192117394536
5 2 10.72785158969992
5 3 52.27106591726976
5 4 15.70082321456166
5 5 0.0
5 6 33.23753831616454
5 7 51.80954740685555
5 8 11.4292383575517
5 9 45.45572326488476
5 10 18.14114635807112
5 11 18.74601965027655
5 12 27.78399892413248
5 13 32.97329280280676
5 14 19.06773062105413
5 15 20.17030139952182
5 16 10.2836784654197
5 17 37.72685532796117
5 18 23.96747617163865
5 19 39.20596226183171
5 20 31.1964334361943
5 21 35.898367863899
6 0 2.660829547734461
6 1 9.265617142219172
6 2 22.50968672646462
6 3 40.1118685056363
6 4 35.0183615307262
6 5 33.23753831616454
6 6 0.0
6 7 39.65034999522209
6 8 38.42677667371623
6 9 36.17652585325131
6 10 15.09639195809342
6 11 48.62355796644108
6 12 6.984801512499016
6 13 41.93409539117329
6 14 14.16980769511041
6 15 13.06723691664272
6 16 36.32121678158424
6 17 45.72765791632771
6 18 9.27006214452589
6 19 28.48676485019824
6 20 2.681104879970249
6 21 2.660829547734461
7 0 39.91117954295655
7 1 31.82473285300292
7 2 50.20169581715562
7 3 1.421518510414207
7 4 67.5103706214172
7 5 51.80954740685555
7 6 39.65034999522209
7 7 0.0
7 8 63.23878576440725
7 9 6.353824141970781
7 10 40.87395803712867
7 11 70.5555670571321
7 12 32.66554848272307
7 13 18.8362546040488
7 14 42.76054230011168
7 15 46.51924600733373
7 16 62.09322587227526
7 17 14.08269207889438
7 18 45.26028785069619
7 19 12.60358514502385
7 20 37.12924511525184
7 21 39.91117954295655
8 0 41.08760622145069
8 1 33.17405291140433
8 2 15.91708994725161
8 3 63.70030427482146
8 4 4.526797299911355
8 5 11.4292383575517
8 6 38.42677667371623
8 7 63.23878576440725
8 8 0.0
8 9 56.88496162243646
8 10 23.33038471562282
8 11 10.19678129272485
8 12 32.97323728168417
8 13 44.40253116035846
8 14 24.25696897860583
8 15 25.35953975707351
8 16 2.105559892131992
8 17 49.15609368551286
8 18 29.15671452919034
8 19 50.6352006193834
8 20 36.38567179374599
8 21 41.08760622145069
9 0 38.83735540098576
9 1 30.75090871103213
9 2 43.84787167518486
9 3 6.815342652384989
9 4 61.15654647944642
9 5 45.45572326488476
9 6 36.17652585325131
9 7 6.353824141970781
9 8 56.88496162243646
9 9 0.0
9 10 34.52013389515789
9 11 64.20174291516132
9 12 30.72298646121924
9 13 12.48243046207801
9 14 36.4067181581409
9 15 40.16542186536295
9 16 55.73940173030446
9 17 9.551132063076402
9 18 38.90646370872542
9 19 7.689761003053064
9 20 34.13542097328106
9 21 38.83735540098576
10 0 17.75722150582788
10 1 10.48922518412575
10 2 9.327737780026961
10 3 41.33547654754287
10 4 26.63641258428854
10 5 18.14114635807112
10 6 15.09639195809342
10 7 40.87395803712867
10 8 23.33038471562282
10 9 34.52013389515789
10 10 0.0
10 11 33.52716600834767
10 12 9.642852566061359
10 13 26.83770343307987
10 14 1.886584262983015
10 15 5.645287970205065
10 16 21.86482482349082
10 17 30.63126595823429
10 18 5.82632981356753
10 19 28.27037289210482
10 20 13.05528707812317
10 21 17.75722150582788
11 0 51.28438751417555
11 1 43.19794082422191
